event_id,timestamp,site_id,severity,facility,message,fault_type,correlated_scenario
SLOG-000447,2026-06-24T15:03:38,branch-lucknow,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel1, changed state to up",normal,none
SLOG-000075,2026-06-24T15:22:45.117389,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface GigabitEthernet0/1 utilization 87%,link_congestion,scenario-5
SLOG-000073,2026-06-24T15:27:36.634106,branch-bhubaneswar,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface TenGigabitEthernet0/0 utilization 81%,link_congestion,scenario-5
SLOG-000448,2026-06-24T15:32:29,hub-delhi,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.0.0.1 Up,normal,none
SLOG-000443,2026-06-24T15:43:17,branch-pune,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.4.1 on GigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000077,2026-06-24T15:44:02.314689,branch-bhubaneswar,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface TenGigabitEthernet0/0 utilization 80%,link_congestion,scenario-5
SLOG-000445,2026-06-24T15:44:03,branch-bhubaneswar,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000444,2026-06-24T15:49:49,branch-lucknow,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.11.1 on GigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000071,2026-06-24T15:52:53.017025,branch-bhubaneswar,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface Tunnel0 utilization 99%,link_congestion,scenario-5
SLOG-000070,2026-06-24T15:57:26.866499,branch-kolkata,WARN,LOCAL7,"%QUEUE-4-TAIL_DROP: Tail drop enabled on GigabitEthernet0/0, queue 73%",link_congestion,scenario-5
SLOG-000449,2026-06-24T16:00:21,branch-bhubaneswar,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.7.1,normal,none
SLOG-000451,2026-06-24T16:02:22,branch-kolkata,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.6.1 Up,normal,none
SLOG-000450,2026-06-24T16:10:20,branch-kochi,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.12.1 Up,normal,none
SLOG-000074,2026-06-24T16:14:56.544786,branch-kolkata,WARN,LOCAL7,"%QUEUE-4-TAIL_DROP: Tail drop enabled on Tunnel1, queue 92%",link_congestion,scenario-5
SLOG-000453,2026-06-24T16:22:41,branch-chandigarh,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.9.1 Up,normal,none
SLOG-000086,2026-06-24T16:23:27.449037,branch-kolkata,WARN,LOCAL7,"%QUEUE-4-TAIL_DROP: Tail drop enabled on GigabitEthernet0/0, queue 79%",link_congestion,scenario-5
SLOG-000454,2026-06-24T16:23:59,branch-guwahati,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.8.1 on TenGigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000084,2026-06-24T16:25:00.844235,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface Tunnel1 utilization 85%,link_congestion,scenario-5
SLOG-000452,2026-06-24T16:25:38,branch-kolkata,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000082,2026-06-24T16:33:54.793547,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface TenGigabitEthernet0/0 utilization 72%,link_congestion,scenario-5
SLOG-000455,2026-06-24T17:01:50,branch-guwahati,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000457,2026-06-24T17:02:31,branch-bhopal,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.14.1 on Tunnel0 from LOADING to FULL",normal,none
SLOG-000076,2026-06-24T17:04:12.550630,branch-bhubaneswar,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface Tunnel0 utilization 88%,link_congestion,scenario-5
SLOG-000083,2026-06-24T17:06:32.793517,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface Loopback0 utilization 94%,link_congestion,scenario-5
SLOG-000079,2026-06-24T17:16:15.003076,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface Tunnel1 utilization 86%,link_congestion,scenario-5
SLOG-000456,2026-06-24T17:17:24,branch-ahmedabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000072,2026-06-24T17:29:00.875893,branch-bhubaneswar,WARN,LOCAL7,"%QUEUE-4-TAIL_DROP: Tail drop enabled on GigabitEthernet0/0, queue 82%",link_congestion,scenario-5
SLOG-000458,2026-06-24T17:29:32,branch-lucknow,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.11.1 on GigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000089,2026-06-24T18:04:46.223492,hub-delhi,CRIT,LOCAL7,"%OSPF-2-ADJ_CHG: Process 1, Nbr 10.0.0.1 on GigabitEthernet0/0 from FULL to DOWN",ospf_adjacency_lost,scenario-6
SLOG-000087,2026-06-24T18:07:05.926451,hub-delhi,WARN,LOCAL7,%OSPF-4-HELLO_FAIL: Hello packets not received from 10.0.0.1,ospf_adjacency_lost,scenario-6
SLOG-000088,2026-06-24T18:07:26.156782,hub-delhi,CRIT,LOCAL7,"%OSPF-2-ADJ_CHG: Process 1, Nbr 10.0.0.1 on Tunnel1 from FULL to DOWN",ospf_adjacency_lost,scenario-6
SLOG-000090,2026-06-24T18:09:26.155612,hub-delhi,CRIT,LOCAL7,"%OSPF-2-ADJ_CHG: Process 1, Nbr 10.0.0.1 on GigabitEthernet0/0 from FULL to DOWN",ospf_adjacency_lost,scenario-6
SLOG-000460,2026-06-24T18:13:10,branch-nagpur,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.13.1,normal,none
SLOG-000093,2026-06-24T18:14:49.408358,hub-delhi,WARN,LOCAL7,%OSPF-4-HELLO_FAIL: Hello packets not received from 10.0.0.1,ospf_adjacency_lost,scenario-6
SLOG-000097,2026-06-24T18:18:42.874802,hub-delhi,CRIT,LOCAL7,"%OSPF-2-ADJ_CHG: Process 1, Nbr 10.0.0.1 on GigabitEthernet0/2 from FULL to DOWN",ospf_adjacency_lost,scenario-6
SLOG-000461,2026-06-24T18:19:38,branch-ahmedabad,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.5.1,normal,none
SLOG-000092,2026-06-24T18:20:16.065966,hub-delhi,WARN,LOCAL7,%OSPF-4-HELLO_FAIL: Hello packets not received from 10.0.0.1,ospf_adjacency_lost,scenario-6
SLOG-000459,2026-06-24T18:22:29,hub-delhi,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.1 on Tunnel1 from LOADING to FULL",normal,none
SLOG-000091,2026-06-24T18:23:46.609747,hub-delhi,ERROR,LOCAL7,"%OSPF-3-DEAD_INTERVAL: Neighbor 10.0.0.1 dead, interface TenGigabitEthernet0/0",ospf_adjacency_lost,scenario-6
SLOG-000095,2026-06-24T18:24:47.820823,hub-delhi,CRIT,LOCAL7,"%OSPF-2-ADJ_CHG: Process 1, Nbr 10.0.0.1 on Tunnel1 from FULL to DOWN",ospf_adjacency_lost,scenario-6
SLOG-000096,2026-06-24T18:27:07.634638,hub-delhi,ERROR,LOCAL7,"%OSPF-3-DEAD_INTERVAL: Neighbor 10.0.0.1 dead, interface Tunnel0",ospf_adjacency_lost,scenario-6
SLOG-000094,2026-06-24T18:28:12.765732,hub-delhi,CRIT,LOCAL7,"%OSPF-2-ADJ_CHG: Process 1, Nbr 10.0.0.1 on Tunnel1 from FULL to DOWN",ospf_adjacency_lost,scenario-6
SLOG-000462,2026-06-24T18:38:28,branch-chandigarh,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000465,2026-06-24T19:01:09,branch-kolkata,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.6.1 Up,normal,none
SLOG-000468,2026-06-24T19:18:00,hub-delhi,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000467,2026-06-24T19:31:18,branch-guwahati,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to up",normal,none
SLOG-000463,2026-06-24T19:37:05,branch-kolkata,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.6.1,normal,none
SLOG-000464,2026-06-24T19:39:24,branch-bhopal,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.14.1,normal,none
SLOG-000466,2026-06-24T19:42:30,branch-kochi,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.12.1 Up,normal,none
SLOG-000473,2026-06-24T20:28:56,branch-guwahati,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.8.1 on TenGigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000474,2026-06-24T20:36:05,branch-bhubaneswar,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.7.1,normal,none
SLOG-000470,2026-06-24T20:36:27,branch-chennai,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000469,2026-06-24T20:37:38,branch-nagpur,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.13.1 Up,normal,none
SLOG-000472,2026-06-24T20:45:19,branch-pune,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000471,2026-06-24T20:47:43,branch-nagpur,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.13.1,normal,none
SLOG-000111,2026-06-24T21:01:24.765149,branch-jaipur,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.1.10.1,bgp_route_flap,scenario-7
SLOG-000104,2026-06-24T21:03:22.693555,branch-jaipur,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.10.1 Up,bgp_route_flap,scenario-7
SLOG-000103,2026-06-24T21:07:56.007508,branch-jaipur,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.1.10.1,bgp_route_flap,scenario-7
SLOG-000108,2026-06-24T21:17:23.037039,branch-jaipur,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.1.10.1,bgp_route_flap,scenario-7
SLOG-000114,2026-06-24T21:21:55.263922,branch-jaipur,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.1.10.1 Down BGP Notification sent,bgp_route_flap,scenario-7
SLOG-000475,2026-06-24T21:22:23,branch-chandigarh,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.9.1 on Tunnel1 from LOADING to FULL",normal,none
SLOG-000107,2026-06-24T21:23:23.559861,branch-jaipur,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.10.1 Up,bgp_route_flap,scenario-7
SLOG-000101,2026-06-24T21:32:16.940926,branch-jaipur,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.1.10.1 Down BGP Notification sent,bgp_route_flap,scenario-7
SLOG-000477,2026-06-24T21:33:28,branch-bhopal,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000112,2026-06-24T21:39:50.330360,branch-jaipur,WARN,LOCAL7,"%BGP-4-DAMP: Route 10.10.8.0/30 dampened, penalty 1566",bgp_route_flap,scenario-7
SLOG-000109,2026-06-24T21:41:14.998808,branch-jaipur,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.1.10.1 Down BGP Notification sent,bgp_route_flap,scenario-7
SLOG-000105,2026-06-24T21:44:37.233352,branch-jaipur,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.1.10.1 Down BGP Notification sent,bgp_route_flap,scenario-7
SLOG-000113,2026-06-24T21:46:43.676021,branch-jaipur,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.1.10.1,bgp_route_flap,scenario-7
SLOG-000102,2026-06-24T21:47:27.036867,branch-jaipur,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.1.10.1 Down BGP Notification sent,bgp_route_flap,scenario-7
SLOG-000116,2026-06-24T21:48:37.999637,branch-jaipur,ERROR,LOCAL7,"%BGP-3-NOTIFICATION: BGP neighbor 10.1.10.1 Down, hold timer expired",bgp_route_flap,scenario-7
SLOG-000098,2026-06-24T21:49:48.739760,branch-jaipur,WARN,LOCAL7,"%BGP-4-DAMP: Route 10.0.6.0/30 dampened, penalty 1699",bgp_route_flap,scenario-7
SLOG-000100,2026-06-24T21:50:56.477892,branch-jaipur,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.1.10.1,bgp_route_flap,scenario-7
SLOG-000115,2026-06-24T21:51:26.059307,branch-jaipur,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.1.10.1 Down BGP Notification sent,bgp_route_flap,scenario-7
SLOG-000478,2026-06-24T21:52:46,branch-kochi,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.12.1,normal,none
SLOG-000106,2026-06-24T21:54:56.514247,branch-jaipur,ERROR,LOCAL7,"%BGP-3-NOTIFICATION: BGP neighbor 10.1.10.1 Down, hold timer expired",bgp_route_flap,scenario-7
SLOG-000476,2026-06-24T21:55:34,branch-bhopal,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.14.1 on Loopback0 from LOADING to FULL",normal,none
SLOG-000099,2026-06-24T21:55:48.125879,branch-jaipur,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.1.10.1,bgp_route_flap,scenario-7
SLOG-000110,2026-06-24T21:58:54.761260,branch-jaipur,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.10.1 Up,bgp_route_flap,scenario-7
SLOG-000483,2026-06-24T22:02:34,branch-guwahati,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.8.1 on GigabitEthernet0/2 from LOADING to FULL",normal,none
SLOG-000480,2026-06-24T22:38:41,branch-nagpur,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.13.1 Up,normal,none
SLOG-000481,2026-06-24T22:40:36,branch-hyderabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000479,2026-06-24T22:44:22,branch-chandigarh,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.9.1,normal,none
SLOG-000482,2026-06-24T22:50:24,branch-bhubaneswar,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000484,2026-06-24T23:12:00,branch-chandigarh,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000486,2026-06-24T23:29:52,branch-kolkata,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.6.1 on Tunnel1 from LOADING to FULL",normal,none
SLOG-000485,2026-06-24T23:38:01,branch-lucknow,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000487,2026-06-24T23:55:33,branch-ahmedabad,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.5.1,normal,none
SLOG-000491,2026-06-25T00:02:25,branch-bhopal,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000492,2026-06-25T00:05:10,branch-chandigarh,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.9.1,normal,none
SLOG-000488,2026-06-25T00:15:20,branch-chandigarh,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.9.1 Up,normal,none
SLOG-000490,2026-06-25T00:28:56,branch-ahmedabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000117,2026-06-25T00:35:08.664638,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on TenGigabitEthernet0/0, queue utilization 83%",congestion_buildup,scenario-8
SLOG-000135,2026-06-25T00:36:18.847165,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on GigabitEthernet0/1, queue utilization 97%",congestion_buildup,scenario-8
SLOG-000136,2026-06-25T00:38:14.803967,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on GigabitEthernet0/0, queue utilization 93%",congestion_buildup,scenario-8
SLOG-000140,2026-06-25T00:45:07.649036,branch-lucknow,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on GigabitEthernet0/0,congestion_buildup,scenario-8
SLOG-000119,2026-06-25T00:45:31.757302,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on Tunnel0, queue utilization 71%",congestion_buildup,scenario-8
SLOG-000489,2026-06-25T00:50:07,branch-bengaluru,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.1.1,normal,none
SLOG-000139,2026-06-25T00:58:45.022048,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on TenGigabitEthernet0/0, queue utilization 99%",congestion_buildup,scenario-8
SLOG-000123,2026-06-25T01:07:33.986954,branch-lucknow,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface GigabitEthernet0/1 output queue depth 85% of max,congestion_buildup,scenario-8
SLOG-000122,2026-06-25T01:08:36.212606,branch-lucknow,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 76 routes flapping",congestion_buildup,scenario-8
SLOG-000126,2026-06-25T01:10:39.822704,branch-lucknow,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on Tunnel1,congestion_buildup,scenario-8
SLOG-000132,2026-06-25T01:14:31.209456,branch-lucknow,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Tunnel1 output queue depth 81% of max,congestion_buildup,scenario-8
SLOG-000494,2026-06-25T01:17:36,branch-bhubaneswar,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.7.1,normal,none
SLOG-000493,2026-06-25T01:18:17,branch-jaipur,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/0, changed state to up",normal,none
SLOG-000131,2026-06-25T01:19:26.214411,branch-lucknow,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 467 routes flapping",congestion_buildup,scenario-8
SLOG-000138,2026-06-25T01:21:23.017429,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on TenGigabitEthernet0/0, queue utilization 75%",congestion_buildup,scenario-8
SLOG-000124,2026-06-25T01:28:50.964480,branch-lucknow,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 41 routes flapping",congestion_buildup,scenario-8
SLOG-000495,2026-06-25T01:37:14,branch-lucknow,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.11.1 on GigabitEthernet0/2 from LOADING to FULL",normal,none
SLOG-000128,2026-06-25T01:40:14.274394,branch-lucknow,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on Loopback0,congestion_buildup,scenario-8
SLOG-000134,2026-06-25T01:42:55.064339,branch-lucknow,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Loopback0 output queue depth 98% of max,congestion_buildup,scenario-8
SLOG-000118,2026-06-25T01:44:41.239316,branch-lucknow,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface TenGigabitEthernet0/0 output queue depth 89% of max,congestion_buildup,scenario-8
SLOG-000129,2026-06-25T01:48:42.610291,branch-lucknow,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 448 routes flapping",congestion_buildup,scenario-8
SLOG-000496,2026-06-25T01:57:55,branch-nagpur,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.13.1 on Loopback0 from LOADING to FULL",normal,none
SLOG-000130,2026-06-25T02:05:10.804019,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on GigabitEthernet0/1, queue utilization 89%",congestion_buildup,scenario-8
SLOG-000133,2026-06-25T02:05:14.118094,branch-lucknow,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 458 routes flapping",congestion_buildup,scenario-8
SLOG-000137,2026-06-25T02:13:59.079380,branch-lucknow,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on Tunnel0,congestion_buildup,scenario-8
SLOG-000503,2026-06-25T02:15:48,branch-ahmedabad,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.5.1,normal,none
SLOG-000121,2026-06-25T02:16:12.963017,branch-lucknow,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 294 routes flapping",congestion_buildup,scenario-8
SLOG-000127,2026-06-25T02:17:28.699742,branch-lucknow,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on GigabitEthernet0/0, queue utilization 70%",congestion_buildup,scenario-8
SLOG-000120,2026-06-25T02:22:02.767953,branch-lucknow,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on GigabitEthernet0/1,congestion_buildup,scenario-8
SLOG-000499,2026-06-25T02:24:48,branch-hyderabad,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel0, changed state to up",normal,none
SLOG-000125,2026-06-25T02:27:04.705084,branch-lucknow,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Tunnel0 output queue depth 74% of max,congestion_buildup,scenario-8
SLOG-000502,2026-06-25T02:27:53,branch-pune,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000500,2026-06-25T02:37:20,branch-bengaluru,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.1.1 Up,normal,none
SLOG-000497,2026-06-25T02:51:29,branch-bengaluru,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.1.1 on GigabitEthernet0/2 from LOADING to FULL",normal,none
SLOG-000498,2026-06-25T02:51:30,branch-nagpur,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/1, changed state to up",normal,none
SLOG-000501,2026-06-25T02:51:57,branch-chennai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.2.1 Up,normal,none
SLOG-000148,2026-06-25T03:03:23.005047,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 417 input errors on Tunnel1,interface_error_spike,scenario-9
SLOG-000143,2026-06-25T03:06:35.194422,dc-mumbai,ERROR,LOCAL7,%LINEPROTO-3-UPDOWN: Interface Tunnel0 changed state to down,interface_error_spike,scenario-9
SLOG-000151,2026-06-25T03:06:38.488012,dc-mumbai,WARN,LOCAL7,%IF-4-CRC_ERROR: CRC errors on GigabitEthernet0/0: 182 in last 5 minutes,interface_error_spike,scenario-9
SLOG-000146,2026-06-25T03:09:04.554182,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 500 input errors on Loopback0,interface_error_spike,scenario-9
SLOG-000163,2026-06-25T03:09:19.176778,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 42 input errors on GigabitEthernet0/2,interface_error_spike,scenario-9
SLOG-000157,2026-06-25T03:10:22.691701,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 459 input errors on GigabitEthernet0/2,interface_error_spike,scenario-9
SLOG-000160,2026-06-25T03:11:39.329465,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 493 input errors on GigabitEthernet0/0,interface_error_spike,scenario-9
SLOG-000155,2026-06-25T03:13:44.193396,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 11 input errors on GigabitEthernet0/1,interface_error_spike,scenario-9
SLOG-000149,2026-06-25T03:15:02.321376,dc-mumbai,ERROR,LOCAL7,%LINEPROTO-3-UPDOWN: Interface GigabitEthernet0/2 changed state to down,interface_error_spike,scenario-9
SLOG-000144,2026-06-25T03:15:47.600521,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 125 input errors on GigabitEthernet0/1,interface_error_spike,scenario-9
SLOG-000142,2026-06-25T03:17:41.418559,dc-mumbai,WARN,LOCAL7,%IF-4-CRC_ERROR: CRC errors on Tunnel1: 259 in last 5 minutes,interface_error_spike,scenario-9
SLOG-000505,2026-06-25T03:19:01,branch-nagpur,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.13.1,normal,none
SLOG-000150,2026-06-25T03:22:33.932518,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 174 input errors on Tunnel0,interface_error_spike,scenario-9
SLOG-000159,2026-06-25T03:23:10.810880,dc-mumbai,WARN,LOCAL7,%IF-4-CRC_ERROR: CRC errors on Tunnel1: 400 in last 5 minutes,interface_error_spike,scenario-9
SLOG-000145,2026-06-25T03:25:40.033008,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 61 input errors on TenGigabitEthernet0/0,interface_error_spike,scenario-9
SLOG-000147,2026-06-25T03:25:40.837994,dc-mumbai,WARN,LOCAL7,%IF-4-CRC_ERROR: CRC errors on GigabitEthernet0/2: 172 in last 5 minutes,interface_error_spike,scenario-9
SLOG-000158,2026-06-25T03:26:03.032125,dc-mumbai,WARN,LOCAL7,%IF-4-CRC_ERROR: CRC errors on TenGigabitEthernet0/0: 443 in last 5 minutes,interface_error_spike,scenario-9
SLOG-000153,2026-06-25T03:29:50.479595,dc-mumbai,ERROR,LOCAL7,%LINEPROTO-3-UPDOWN: Interface TenGigabitEthernet0/0 changed state to down,interface_error_spike,scenario-9
SLOG-000164,2026-06-25T03:29:59.713465,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 163 input errors on Loopback0,interface_error_spike,scenario-9
SLOG-000162,2026-06-25T03:31:55.980895,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 64 input errors on Tunnel0,interface_error_spike,scenario-9
SLOG-000161,2026-06-25T03:33:18.057879,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 482 input errors on GigabitEthernet0/2,interface_error_spike,scenario-9
SLOG-000152,2026-06-25T03:33:46.072104,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 180 input errors on GigabitEthernet0/2,interface_error_spike,scenario-9
SLOG-000141,2026-06-25T03:34:57.236448,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 239 input errors on GigabitEthernet0/1,interface_error_spike,scenario-9
SLOG-000156,2026-06-25T03:36:47.056256,dc-mumbai,WARN,LOCAL7,%IF-4-INPUT_ERROR: 329 input errors on GigabitEthernet0/1,interface_error_spike,scenario-9
